1;Koch;kochen;Mechaniker;verarbeiten;verarbeiten,fertigen,Metalle;beschaffen,Schleifen,verarbeiten
51;Student;lernen;Software-Engineer;implementieren,programmieren,testen;lernen.Bitte,lernt,erlernen;Software-Ingenieur,kennenlernen,gewinnen
52;Gärtner;pflanzen;Projektleiter;planen,realisieren;;
53;Gärtner;pflanzen;Bauer;bewirtschaften,anbauen;;
54;Gärtner;pflanzen;Confiseur;backen;;
55;Gärtner;pflanzen;Pilot;fliegen;;
56;Gärtner;pflanzen;Software-Engineer;implementieren,programmieren,testen;;
57;Projektleiter;planen;Bauer;bewirtschaften,anbauen;Personaldienste,Ulrike,Patrizia;Sachversicherern,Agrar,médiatiques
58;Projektleiter;planen;Confiseur;backen;13:30,18h00,12h00;
59;Projektleiter;planen;Pilot;fliegen;Prozessanalysen,Massnahmenpläne,nachführen;Bewegungen,gestalten,bestimmen
60;Projektleiter;planen;Software-Engineer;implementieren,programmieren,testen;konzeptionieren,konzipieren,designen;Software-Ingenieur,herausragende,definieren
61;Bauer;bewirtschaften;Confiseur;backen;verwalten,kontrollieren,verbuchen;
62;Bauer;bewirtschaften;Pilot;fliegen;verwalten,kontrollieren,überwachen;Online-Karriere-Portal,Suchfeld,Vorstellungsgespräch
63;Bauer;bewirtschaften;Software-Engineer;implementieren,programmieren,testen;verwalten,konfigurieren,installieren;Software-Ingenieur,Wagen,designen
64;Confiseur;backen;Pilot;fliegen;Pizzen,kommissionieren,Holzofen;
65;Confiseur;backen;Software-Engineer;implementieren,programmieren,testen;Pizzen,Engineer,Baby;
66;Pilot;fliegen;Software-Engineer;implementieren,programmieren,testen;;Software-Ingenieur,herausragende,Maschineneinrichter
